Transaction.Date,product,category,type
12/3/18,product 1,data science,hardcopy
12/1/16,product 1,statistics,hardcopy
12/1/16,product 2,statistics,hardcopy
12/3/16,product 3,statistics,hardcopy
12/3/16,product 4,statistics,hardcopy
12/3/16,product 5,statistics,hardcopy
12/5/16,product 6,data science,hardcopy
12/6/17,product 7,data science,hardcopy
12/6/17,product 1,data science,hardcopy
12/3/16,product 2,data science,hardcopy
12/7/16,product 3,data science,hardcopy
12/1/16,product 4,data science,hardcopy
12/1/16,product 5,data science,hardcopy
12/3/16,product 6,data science,hardcopy
12/3/16,product 7,data science,hardcopy
12/3/16,product 1,statistics,electronic
12/5/16,product 2,statistics,electronic
12/6/17,product 3,statistics,electronic
12/6/17,product 4,statistics,electronic
12/3/16,product 5,statistics,electronic
12/7/16,product 6,statistics,electronic
12/1/16,product 7,statistics,electronic
12/1/16,product 1,statistics,electronic
12/3/18,product 2,statistics,electronic
12/3/18,product 3,statistics,electronic
12/3/18,product 4,statistics,electronic
12/5/18,product 5,statistics,electronic
12/6/18,product 6,statistics,electronic
12/6/18,product 7,data science,electronic
12/3/18,product 1,data science,electronic
12/7/18,product 2,data science,electronic
12/1/18,product 3,data science,electronic
12/1/18,product 4,data science,electronic
12/3/18,product 5,data science,electronic
12/3/18,product 6,data science,electronic
12/3/18,product 7,data science,hardcopy
12/6/18,product 1,data science,hardcopy
12/3/18,product 2,data science,hardcopy
12/7/18,product 3,data science,hardcopy
12/1/18,product 4,data science,hardcopy
12/1/18,product 5,data science,hardcopy
12/3/18,product 6,data science,hardcopy
12/3/18,product 7,data science,hardcopy
12/3/18,product 1,data science,hardcopy
12/1/16,product 1,statistics,hardcopy
12/1/16,product 2,statistics,hardcopy
12/3/16,product 3,statistics,hardcopy
12/3/16,product 4,statistics,hardcopy
12/3/16,product 5,statistics,hardcopy
12/5/16,product 6,data science,hardcopy
12/6/17,product 7,data science,hardcopy
12/6/17,product 1,data science,hardcopy
12/3/16,product 2,data science,hardcopy
12/7/16,product 3,data science,hardcopy
12/1/16,product 4,data science,hardcopy
12/1/16,product 5,data science,hardcopy
12/3/16,product 6,data science,hardcopy
12/3/16,product 7,data science,hardcopy
12/3/16,product 1,statistics,electronic
12/5/16,product 2,statistics,electronic
12/6/17,product 3,statistics,electronic
12/6/17,product 4,statistics,electronic
12/3/16,product 5,statistics,electronic
12/7/16,product 6,statistics,electronic
12/1/16,product 7,statistics,electronic
12/1/16,product 1,statistics,electronic
12/3/18,product 2,statistics,electronic
12/3/18,product 3,statistics,electronic
12/3/18,product 4,statistics,electronic
12/5/18,product 5,statistics,electronic
12/6/18,product 6,statistics,electronic
12/6/18,product 7,data science,electronic
12/3/18,product 1,data science,electronic
12/7/18,product 2,data science,electronic
12/1/18,product 3,data science,electronic
12/1/18,product 4,data science,electronic
12/3/18,product 5,data science,electronic
12/3/18,product 6,data science,electronic
12/3/18,product 7,data science,hardcopy
12/6/18,product 1,data science,hardcopy
12/3/18,product 2,data science,hardcopy
12/7/18,product 3,data science,hardcopy
12/1/18,product 4,data science,hardcopy
12/1/18,product 5,data science,hardcopy
12/3/18,product 6,data science,hardcopy
12/3/18,product 7,data science,hardcopy
12/3/18,product 1,data science,hardcopy
12/1/16,product 1,statistics,hardcopy
12/1/16,product 2,statistics,hardcopy
12/3/16,product 3,statistics,hardcopy
12/3/16,product 4,statistics,hardcopy
12/3/16,product 5,statistics,hardcopy
12/5/16,product 6,data science,hardcopy
12/6/17,product 7,data science,hardcopy
12/6/17,product 1,data science,hardcopy
12/3/16,product 2,data science,hardcopy
12/7/16,product 3,data science,hardcopy
12/1/16,product 4,data science,hardcopy
12/1/16,product 5,data science,hardcopy
12/3/16,product 6,data science,hardcopy
12/3/16,product 7,data science,hardcopy
12/3/16,product 1,statistics,electronic
12/5/16,product 2,statistics,electronic
12/6/17,product 3,statistics,electronic
12/6/17,product 4,statistics,electronic
12/3/16,product 5,statistics,electronic
12/7/16,product 6,statistics,electronic
12/1/16,product 7,statistics,electronic
12/1/16,product 1,statistics,electronic
12/3/18,product 2,statistics,electronic
12/3/18,product 3,statistics,electronic
12/3/18,product 4,statistics,electronic
12/5/18,product 5,statistics,electronic
12/6/18,product 6,statistics,electronic
12/6/18,product 7,data science,electronic
12/3/18,product 1,data science,electronic
12/7/18,product 2,data science,electronic
12/1/18,product 3,data science,electronic
12/1/18,product 4,data science,electronic
12/3/18,product 5,data science,electronic
12/3/18,product 6,data science,electronic
12/3/18,product 7,data science,hardcopy
12/6/18,product 1,data science,hardcopy
12/3/18,product 2,data science,hardcopy
12/7/18,product 3,data science,hardcopy
12/1/18,product 4,data science,hardcopy
12/1/18,product 5,data science,hardcopy
12/3/18,product 6,data science,hardcopy
12/3/18,product 7,data science,hardcopy
12/3/18,product 1,data science,hardcopy
12/1/16,product 1,statistics,hardcopy
12/1/16,product 2,statistics,hardcopy
12/3/16,product 3,statistics,hardcopy
12/3/16,product 4,statistics,hardcopy
12/3/16,product 5,statistics,hardcopy
12/5/16,product 6,data science,hardcopy
12/6/17,product 7,data science,hardcopy
12/6/17,product 1,data science,hardcopy
12/3/16,product 2,data science,hardcopy
12/7/16,product 3,data science,hardcopy
12/1/16,product 4,data science,hardcopy
12/1/16,product 5,data science,hardcopy
12/3/16,product 6,data science,hardcopy
12/3/16,product 7,data science,hardcopy
12/3/16,product 1,statistics,electronic
12/5/16,product 2,statistics,electronic
12/6/17,product 3,statistics,electronic
12/6/17,product 4,statistics,electronic
12/3/16,product 5,statistics,electronic
12/7/16,product 6,statistics,electronic
12/1/16,product 7,statistics,electronic
12/1/16,product 1,statistics,electronic
12/3/18,product 2,statistics,electronic
12/3/18,product 3,statistics,electronic
12/3/18,product 4,statistics,electronic
12/5/18,product 5,statistics,electronic
12/6/18,product 6,statistics,electronic
12/6/18,product 7,data science,electronic
12/3/18,product 1,data science,electronic
12/7/18,product 2,data science,electronic
12/1/18,product 3,data science,electronic
12/1/18,product 4,data science,electronic
12/3/18,product 5,data science,electronic
12/3/18,product 6,data science,electronic
12/3/18,product 7,data science,hardcopy
12/6/18,product 1,data science,hardcopy
12/3/18,product 2,data science,hardcopy
12/7/18,product 3,data science,hardcopy
12/1/18,product 4,data science,hardcopy
12/1/18,product 5,data science,hardcopy
12/3/18,product 6,data science,hardcopy
12/3/18,product 7,data science,hardcopy
12/3/18,product 1,data science,hardcopy
12/1/16,product 1,statistics,hardcopy
12/1/16,product 2,statistics,hardcopy
12/3/16,product 3,statistics,hardcopy
12/3/16,product 4,statistics,hardcopy
12/3/16,product 5,statistics,hardcopy
12/5/16,product 6,data science,hardcopy
12/6/17,product 7,data science,hardcopy
12/6/17,product 1,data science,hardcopy
12/3/16,product 2,data science,hardcopy
12/7/16,product 3,data science,hardcopy
12/1/16,product 4,data science,hardcopy
12/1/16,product 5,data science,hardcopy
12/3/16,product 6,data science,hardcopy
12/3/16,product 7,data science,hardcopy
12/3/16,product 1,statistics,electronic
12/5/16,product 2,statistics,electronic
12/6/17,product 3,statistics,electronic
12/6/17,product 4,statistics,electronic
12/3/16,product 5,statistics,electronic
12/7/16,product 6,statistics,electronic
12/1/16,product 7,statistics,electronic
12/1/16,product 1,statistics,electronic
12/3/18,product 2,statistics,electronic
12/3/18,product 3,statistics,electronic
12/3/18,product 4,statistics,electronic
12/5/18,product 5,statistics,electronic
12/6/18,product 6,statistics,electronic
12/6/18,product 7,data science,electronic
12/3/18,product 1,data science,electronic
12/7/18,product 2,data science,electronic
12/1/18,product 3,data science,electronic
12/1/18,product 4,data science,electronic
12/3/18,product 5,data science,electronic
12/3/18,product 6,data science,electronic
12/3/18,product 7,data science,hardcopy
12/6/18,product 1,data science,hardcopy
12/3/18,product 2,data science,hardcopy
12/7/18,product 3,data science,hardcopy
12/1/18,product 4,data science,hardcopy
12/1/18,product 5,data science,hardcopy
12/3/18,product 6,data science,hardcopy
12/3/18,product 7,data science,hardcopy
12/3/18,product 1,data science,hardcopy
12/1/16,product 1,statistics,hardcopy
12/1/16,product 2,statistics,hardcopy
12/3/16,product 3,statistics,hardcopy
12/3/16,product 4,statistics,hardcopy
12/3/16,product 5,statistics,hardcopy
12/5/16,product 6,data science,hardcopy
12/6/17,product 7,data science,hardcopy
12/6/17,product 1,data science,hardcopy
12/3/16,product 2,data science,hardcopy
12/7/16,product 3,data science,hardcopy
12/1/16,product 4,data science,hardcopy
12/1/16,product 5,data science,hardcopy
12/3/16,product 6,data science,hardcopy
12/3/16,product 7,data science,hardcopy
12/3/16,product 1,statistics,electronic
12/5/16,product 2,statistics,electronic
12/6/17,product 3,statistics,electronic
12/6/17,product 4,statistics,electronic
12/3/16,product 5,statistics,electronic
12/7/16,product 6,statistics,electronic
12/1/16,product 7,statistics,electronic
12/1/16,product 1,statistics,electronic
12/3/18,product 2,statistics,electronic
12/3/18,product 3,statistics,electronic
12/3/18,product 4,statistics,electronic
12/5/18,product 5,statistics,electronic
12/6/18,product 6,statistics,electronic
12/6/18,product 7,data science,electronic
12/3/18,product 1,data science,electronic
12/7/18,product 2,data science,electronic
12/1/18,product 3,data science,electronic
12/1/18,product 4,data science,electronic
12/3/18,product 5,data science,electronic
12/3/18,product 6,data science,electronic
12/3/18,product 7,data science,hardcopy
12/6/18,product 1,data science,hardcopy
12/3/18,product 2,data science,hardcopy
12/7/18,product 3,data science,hardcopy
12/1/18,product 4,data science,hardcopy
12/1/18,product 5,data science,hardcopy
12/3/18,product 6,data science,hardcopy
12/3/18,product 7,data science,hardcopy
12/3/18,product 1,data science,hardcopy
12/1/16,product 1,statistics,hardcopy
12/1/16,product 2,statistics,hardcopy
12/3/16,product 3,statistics,hardcopy
12/3/16,product 4,statistics,hardcopy
12/3/16,product 5,statistics,hardcopy
12/5/16,product 6,data science,hardcopy
12/6/17,product 7,data science,hardcopy
12/6/17,product 1,data science,hardcopy
12/3/16,product 2,data science,hardcopy
12/7/16,product 3,data science,hardcopy
12/1/16,product 4,data science,hardcopy
12/1/16,product 5,data science,hardcopy
12/3/16,product 6,data science,hardcopy
12/3/16,product 7,data science,hardcopy
12/3/16,product 1,statistics,electronic
12/5/16,product 2,statistics,electronic
12/6/17,product 3,statistics,electronic
12/6/17,product 4,statistics,electronic
12/3/16,product 5,statistics,electronic
12/7/16,product 6,statistics,electronic
12/1/16,product 7,statistics,electronic
12/1/16,product 1,statistics,electronic
12/3/18,product 2,statistics,electronic
12/3/18,product 3,statistics,electronic
12/3/18,product 4,statistics,electronic
12/5/18,product 5,statistics,electronic
12/6/18,product 6,statistics,electronic
12/6/18,product 7,data science,electronic
12/3/18,product 1,data science,electronic
12/7/18,product 2,data science,electronic
12/1/18,product 3,data science,electronic
12/1/18,product 4,data science,electronic
12/3/18,product 5,data science,electronic
12/3/18,product 6,data science,electronic
12/3/18,product 7,data science,hardcopy
12/6/18,product 1,data science,hardcopy
12/3/18,product 2,data science,hardcopy
12/7/18,product 3,data science,hardcopy
12/1/18,product 4,data science,hardcopy
12/1/18,product 5,data science,hardcopy
12/3/18,product 6,data science,hardcopy
12/3/18,product 7,data science,hardcopy
12/3/18,product 1,data science,hardcopy
12/1/16,product 1,statistics,hardcopy
12/1/16,product 2,statistics,hardcopy
12/3/16,product 3,statistics,hardcopy
12/3/16,product 4,statistics,hardcopy
12/3/16,product 5,statistics,hardcopy
12/5/16,product 6,data science,hardcopy
12/6/17,product 7,data science,hardcopy
12/6/17,product 1,data science,hardcopy
12/3/16,product 2,data science,hardcopy
12/7/16,product 3,data science,hardcopy
12/1/16,product 4,data science,hardcopy
12/1/16,product 5,data science,hardcopy
12/3/16,product 6,data science,hardcopy
12/3/16,product 7,data science,hardcopy
12/3/16,product 1,statistics,electronic
12/5/16,product 2,statistics,electronic
12/6/17,product 3,statistics,electronic
12/6/17,product 4,statistics,electronic
12/3/16,product 5,statistics,electronic
12/7/16,product 6,statistics,electronic
12/1/16,product 7,statistics,electronic
12/1/16,product 1,statistics,electronic
12/3/18,product 2,statistics,electronic
12/3/18,product 3,statistics,electronic
12/3/18,product 4,statistics,electronic
12/5/18,product 5,statistics,electronic
12/6/18,product 6,statistics,electronic
12/6/18,product 7,data science,electronic
12/3/18,product 1,data science,electronic
12/7/18,product 2,data science,electronic
12/1/18,product 3,data science,electronic
12/1/18,product 4,data science,electronic
12/3/18,product 5,data science,electronic
12/3/18,product 6,data science,electronic
12/3/18,product 7,data science,hardcopy
12/6/18,product 1,data science,hardcopy
12/3/18,product 2,data science,hardcopy
12/7/18,product 3,data science,hardcopy
12/1/18,product 4,data science,hardcopy
12/1/18,product 5,data science,hardcopy
12/3/18,product 6,data science,hardcopy
12/3/18,product 7,data science,hardcopy
12/3/18,product 1,data science,hardcopy
12/1/16,product 1,statistics,hardcopy
12/1/16,product 2,statistics,hardcopy
12/3/16,product 3,statistics,hardcopy
12/3/16,product 4,statistics,hardcopy
12/3/16,product 5,statistics,hardcopy
12/5/16,product 6,data science,hardcopy
12/6/17,product 7,data science,hardcopy
12/6/17,product 1,data science,hardcopy
12/3/16,product 2,data science,hardcopy
12/7/16,product 3,data science,hardcopy
12/1/16,product 4,data science,hardcopy
12/1/16,product 5,data science,hardcopy
12/3/16,product 6,data science,hardcopy
12/3/16,product 7,data science,hardcopy
12/3/16,product 1,statistics,electronic
12/5/16,product 2,statistics,electronic
12/6/17,product 3,statistics,electronic
12/6/17,product 4,statistics,electronic
12/3/16,product 5,statistics,electronic
12/7/16,product 6,statistics,electronic
12/1/16,product 7,statistics,electronic
12/1/16,product 1,statistics,electronic
12/3/18,product 2,statistics,electronic
12/3/18,product 3,statistics,electronic
12/3/18,product 4,statistics,electronic
12/5/18,product 5,statistics,electronic
12/6/18,product 6,statistics,electronic
12/6/18,product 7,data science,electronic
12/3/18,product 1,data science,electronic
12/7/18,product 2,data science,electronic
12/1/18,product 3,data science,electronic
12/1/18,product 4,data science,electronic
12/3/18,product 5,data science,electronic
12/3/18,product 6,data science,electronic
12/3/18,product 7,data science,hardcopy
12/6/18,product 1,data science,hardcopy
12/3/18,product 2,data science,hardcopy
12/7/18,product 3,data science,hardcopy
12/1/18,product 4,data science,hardcopy
12/1/18,product 5,data science,hardcopy
12/3/18,product 6,data science,hardcopy
12/3/18,product 7,data science,hardcopy
12/3/18,product 1,data science,hardcopy
12/1/16,product 1,statistics,hardcopy
12/1/16,product 2,statistics,hardcopy
12/3/16,product 3,statistics,hardcopy
12/3/16,product 4,statistics,hardcopy
12/3/16,product 5,statistics,hardcopy
12/5/16,product 6,data science,hardcopy
12/6/17,product 7,data science,hardcopy
12/6/17,product 1,data science,hardcopy
12/3/16,product 2,data science,hardcopy
12/7/16,product 3,data science,hardcopy
12/1/16,product 4,data science,hardcopy
12/1/16,product 5,data science,hardcopy
12/3/16,product 6,data science,hardcopy
12/3/16,product 7,data science,hardcopy
12/3/16,product 1,statistics,electronic
12/5/16,product 2,statistics,electronic
12/6/17,product 3,statistics,electronic
12/6/17,product 4,statistics,electronic
12/3/16,product 5,statistics,electronic
12/7/16,product 6,statistics,electronic
12/1/16,product 7,statistics,electronic
12/1/16,product 1,statistics,electronic
12/3/18,product 2,statistics,electronic
12/3/18,product 3,statistics,electronic
12/3/18,product 4,statistics,electronic
12/5/18,product 5,statistics,electronic
12/6/18,product 6,statistics,electronic
12/6/18,product 7,data science,electronic
12/3/18,product 1,data science,electronic
12/7/18,product 2,data science,electronic
12/1/18,product 3,data science,electronic
12/1/18,product 4,data science,electronic
12/3/18,product 5,data science,electronic
12/3/18,product 6,data science,electronic
12/3/18,product 7,data science,hardcopy
12/6/18,product 1,data science,hardcopy
12/3/18,product 2,data science,hardcopy
12/7/18,product 3,data science,hardcopy
12/1/18,product 4,data science,hardcopy
12/1/18,product 5,data science,hardcopy
12/3/18,product 6,data science,hardcopy
12/3/18,product 7,data science,hardcopy
12/3/18,product 1,data science,hardcopy
12/1/16,product 1,statistics,hardcopy
12/1/16,product 2,statistics,hardcopy
12/3/16,product 3,statistics,hardcopy
12/3/16,product 4,statistics,hardcopy
12/3/16,product 5,statistics,hardcopy
12/5/16,product 6,data science,hardcopy
12/6/17,product 7,data science,hardcopy
12/6/17,product 1,data science,hardcopy
12/3/16,product 2,data science,hardcopy
12/7/16,product 3,data science,hardcopy
12/1/16,product 4,data science,hardcopy
12/1/16,product 5,data science,hardcopy
12/3/16,product 6,data science,hardcopy
12/3/16,product 7,data science,hardcopy
12/3/16,product 1,statistics,electronic
12/5/16,product 2,statistics,electronic
12/6/17,product 3,statistics,electronic
12/6/17,product 4,statistics,electronic
12/3/16,product 5,statistics,electronic
12/7/16,product 6,statistics,electronic
12/1/16,product 7,statistics,electronic
12/1/16,product 1,statistics,electronic
12/3/18,product 2,statistics,electronic
12/3/18,product 3,statistics,electronic
12/3/18,product 4,statistics,electronic
12/5/18,product 5,statistics,electronic
12/6/18,product 6,statistics,electronic
12/6/18,product 7,data science,electronic
12/3/18,product 1,data science,electronic
12/7/18,product 2,data science,electronic
12/1/18,product 3,data science,electronic
12/1/18,product 4,data science,electronic
12/3/18,product 5,data science,electronic
12/3/18,product 6,data science,electronic
12/3/18,product 7,data science,hardcopy
12/6/18,product 1,data science,hardcopy
12/3/18,product 2,data science,hardcopy
12/7/18,product 3,data science,hardcopy
12/1/18,product 4,data science,hardcopy
12/1/18,product 5,data science,hardcopy
12/3/18,product 6,data science,hardcopy
12/3/18,product 7,data science,hardcopy
12/3/18,product 1,data science,hardcopy
12/1/16,product 1,statistics,hardcopy
12/1/16,product 2,statistics,hardcopy
12/3/16,product 3,statistics,hardcopy
12/3/16,product 4,statistics,hardcopy
12/3/16,product 5,statistics,hardcopy
12/5/16,product 6,data science,hardcopy
12/6/17,product 7,data science,hardcopy
12/6/17,product 1,data science,hardcopy
12/3/16,product 2,data science,hardcopy
12/7/16,product 3,data science,hardcopy
12/1/16,product 4,data science,hardcopy
12/1/16,product 5,data science,hardcopy
12/3/16,product 6,data science,hardcopy
12/3/16,product 7,data science,hardcopy
12/3/16,product 1,statistics,electronic
12/5/16,product 2,statistics,electronic
12/6/17,product 3,statistics,electronic
12/6/17,product 4,statistics,electronic
12/3/16,product 5,statistics,electronic
12/7/16,product 6,statistics,electronic
12/1/16,product 7,statistics,electronic
12/1/16,product 1,statistics,electronic
12/3/18,product 2,statistics,electronic
12/3/18,product 3,statistics,electronic
12/3/18,product 4,statistics,electronic
12/5/18,product 5,statistics,electronic
12/6/18,product 6,statistics,electronic
12/6/18,product 7,data science,electronic
12/3/18,product 1,data science,electronic
12/7/18,product 2,data science,electronic
12/1/18,product 3,data science,electronic
12/1/18,product 4,data science,electronic
12/3/18,product 5,data science,electronic
12/3/18,product 6,data science,electronic
12/3/18,product 7,data science,hardcopy
12/6/18,product 1,data science,hardcopy
12/3/18,product 2,data science,hardcopy
12/7/18,product 3,data science,hardcopy
12/1/18,product 4,data science,hardcopy
12/1/18,product 5,data science,hardcopy
12/3/18,product 6,data science,hardcopy
12/3/18,product 7,data science,hardcopy
12/3/18,product 1,data science,hardcopy
12/1/16,product 1,statistics,hardcopy
12/1/16,product 2,statistics,hardcopy
12/3/16,product 3,statistics,hardcopy
12/3/16,product 4,statistics,hardcopy
12/3/16,product 5,statistics,hardcopy
12/5/16,product 6,data science,hardcopy
12/6/17,product 7,data science,hardcopy
12/6/17,product 1,data science,hardcopy
12/3/16,product 2,data science,hardcopy
12/7/16,product 3,data science,hardcopy
12/1/16,product 4,data science,hardcopy
12/1/16,product 5,data science,hardcopy
12/3/16,product 6,data science,hardcopy
12/3/16,product 7,data science,hardcopy
12/3/16,product 1,statistics,electronic
12/5/16,product 2,statistics,electronic
12/6/17,product 3,statistics,electronic
12/6/17,product 4,statistics,electronic
12/3/16,product 5,statistics,electronic
12/7/16,product 6,statistics,electronic
12/1/16,product 7,statistics,electronic
12/1/16,product 1,statistics,electronic
12/3/18,product 2,statistics,electronic
12/3/18,product 3,statistics,electronic
12/3/18,product 4,statistics,electronic
12/5/18,product 5,statistics,electronic
12/6/18,product 6,statistics,electronic
12/6/18,product 7,data science,electronic
12/3/18,product 1,data science,electronic
12/7/18,product 2,data science,electronic
12/1/18,product 3,data science,electronic
12/1/18,product 4,data science,electronic
12/3/18,product 5,data science,electronic
12/3/18,product 6,data science,electronic
12/3/18,product 7,data science,hardcopy
12/6/18,product 1,data science,hardcopy
12/3/18,product 2,data science,hardcopy
12/7/18,product 3,data science,hardcopy
12/1/18,product 4,data science,hardcopy
12/1/18,product 5,data science,hardcopy
12/3/18,product 6,data science,hardcopy
12/3/18,product 7,data science,hardcopy
12/3/18,product 1,data science,hardcopy
